maimai DX 歌曲别名收集计划（@AkihaBot 版）,,,,,,,,,,,,,,,,,,,,,,,,,
"编辑指南请移步左下角「表格编辑指南」，
务必阅读完毕之后再申请编辑！",,,,,,,,,,,,,,,,,,,,,,,,,
439,最終鬼畜妹・一部声,鬼畜妹,一部声,蓝蓝路,吵死了,二小姐,,,,,,,,,,,,,,,,,,,
440,はじめまして地球人さん,,,,,,,,,,,,,,,,,,,,,,,,
446,GEMINI -M-,双子星,戈米尼,双子,鸡米尼,,,,,,,,,,,,,,,,,,,,
447,+♂,加男,,,,,,,,,,,,,,,,,,,,,,,
448,ありふれたせかいせいふく,司空见惯的世界征服,世征,,,,,,,,,,,,,,,,,,,,,,
449,すろぉもぉしょん,,,,,,,,,,,,,,,,,,,,,,,,
450,絵の上手かった友達,,,,,,,,,,,,,,,,,,,,,,,,
451,頓珍漢の宴,顿珍汉,,,,,,,,,,,,,,,,,,,,,,,
453,Garden Of The Dragon,龙花园,万达蓝,,,,,,,,,,,,,,,,,,,,,,
454,After Burner,冲破火网,AB,,,,,,,,,,,,,,,,,,,,,,
455,Counselor,,,,,,,,,,,,,,,,,,,,,,,,
456,Glorious Crown,皇冠,王冠,FD2,GC,,,,,,,,,,,,,,,,,,,,
457,言ノ葉遊戯,言叶游戏,,,,,,,,,,,,,,,,,,,,,,,
458,りばーぶ,reverb,,,,,,,,,,,,,,,,,,,,,,,
459,幾四音-Ixion-,几四音,ixion,,,,,,,,,,,,,,,,,,,,,,
460,閃鋼のブリューナク,闪钢,,,,,,,,,,,,,,,,,,,,,,,
461,無敵We are one!!,无敌we are one,我们是1,我们是无敌1,母铁鸡,无敌我们是1,,,,,,,,,,,,,,,,,,,
462,7thSense,七感,七拍子,第七感,7感,心把节拍,,,,,,,,,,,,,,,,,,,
463,FEEL the BEATS,感受节拍,ftb,,,,,,,,,,,,,,,,,,,,,,
464,Revive The Rave,rtr,润体乳,舞立方,,,,,,,,,,,,,,,,,,,,,
465,スリップフリップ,slipflip,短发妹,短发妹妹,大头妹,slip flip,,,,,,,,,,,,,,,,,,,
466,Jimang Shot,急忙射,,,,,,,,,,,,,,,,,,,,,,,
467,儚きもの人間,梦人间,少女炼狱,,,,,,,,,,,,,,,,,,,,,,
468,ラブリー☆えんじぇる!!,可爱天使,,,,,,,,,,,,,,,,,,,,,,,
471,オモイヨシノ,恋咏樱,Omoiyoshino,,,,,,,,,,,,,,,,,,,,,,
472,アージェントシンメトリー,argent symmetry,sta,pink op,argent,银对称,,,,,,,,,,,,,,,,,,,
475,かくしん的☆めたまるふぉ～ぜっ！,,,,,,,,,,,,,,,,,,,,,,,,
476,極上スマイル,,,,,,,,,,,,,,,,,,,,,,,,
477,厨病激発ボーイ,,,,,,,,,,,,,,,,,,,,,,,,
480,HIMITSUスパーク,HIMITSU Spark,白乌鸦,秘密,,,,,,,,,,,,,,,,,,,,,
482,Party 4U ”holy nite mix”,p4u,冯悦金曲,,,,,,,,,,,,,,,,,,,,,,
483,囲い無き世は一期の月影,月影,,,,,,,,,,,,,,,,,,,,,,,
488,Lividi,李伟迪,李维迪,呜哇,,,,,,,,,,,,,,,,,,,,,
490,Infantoon Fantasy,if,汤海,,,,,,,,,,,,,,,,,,,,,,
492,Jumble Rumble,DJ鼠,jb乱爆,DJ猫,几把乱爆,打碟猫,打碟老鼠,,,,,,,,,,,,,,,,,,
493,Imitation:Loud Lounge,奇面族,ILL,,,,,,,,,,,,,,,,,,,,,,
494,CITRUS MONSTER,橘子怪兽,CM,柑橘怪兽,,,,,,,,,,,,,,,,,,,,,
495,Hyper Active,黄卡车,小黄车,卡车,黄卡,追卡车,泥头车,卡玛斯,前四后八,,,,,,,,,,,,,,,,
496,AMAZING MIGHTYYYY!!!!,AM,我妹妹不可能是男的,精子,阿妈,大棒子,俺妹,96,爽啊！,YYYYY,音游王c,,,,,,,,,,,,,,
497,fake!fake!,假的,fake news！,白乌鸦,,,,,,,,,,,,,,,,,,,,,
499,夏祭り,夏祭,,,,,,,,,,,,,,,,,,,,,,,
500,シュガーソングとビターステップ,,,,,,,,,,,,,,,,,,,,,,,,
501,Daydream café,,,,,,,,,,,,,,,,,,,,,,,,
506,セハガガガンバッちゃう！！,我要去做,世嘉硬件女孩,也八力力力,今天你在哪一层？,,,,,,,,,,,,,,,,,,,,
507,キミノヨゾラ哨戒班,烧鸡班,哨戒班remix,你的夜空哨戒班,哨戒班,,,,,,,,,,,,,,,,,,,,
508,恋愛裁判,恋爱裁判,拼机神曲,出轨裁判,Love Trial,,,,,,,,,,,,,,,,,,,,
509,Just Be Friends,,,,,,,,,,,,,,,,,,,,,,,,
510,ヒビカセ,让其响彻,匕匕力也,比力也,比比力也,匕匕力乜,比利耶！,西比卡贼,比力乜,比卡贼,匕匕力世,,,,,,,,,,,,,,
511,パーフェクト生命,生命,完美生命,,,,,,,,,,,,,,,,,,,,,,
512,StargazeR,摘星人,,,,,,,,,,,,,,,,,,,,,,,
513,だんだん早くなる,渐渐加速,渐渐变快,蛋蛋变快,逐渐加快,蛋蛋歌,逐渐变快,一笔画神曲,蛋蛋加速,蛋蛋加快,变快,蛋蛋,逐渐变快,追星当当,,,,,,,,,,,
514,ヘルシーエンド,maimai你摸,healthy end,,,,,,,,,,,,,,,,,,,,,,
515,クノイチでも恋がしたい,,,,,,,,,,,,,,,,,,,,,,,,
516,ココロ,,,,,,,,,,,,,,,,,,,,,,,,
517,東京リアルワールド,东京真实世界,东京,Tokyo Real World,Yeah!,,,,,,,,,,,,,,,,,,,,
518,やめろ！聴くな！,别听,,,,,,,,,,,,,,,,,,,,,,,
519,ゆっくりしていってね！！！,,,,,,,,,,,,,,,,,,,,,,,,
520,木彫り鯰と右肩ゾンビ,僵尸,木雕鲇鱼,520,右肩僵尸,右肩,木雕,肩周炎,木雕鲶鱼,鲇鱼,鲶鱼,,,,,,,,,,,,,,
521,ECHO,回声,恶臭,挨口,I don't know,idk:-(,电视头,:-),,,,,,,,,,,,,,,,,
522,Mr. Wonderland,王大狼,梦幻岛,幻想乡先生,,,,,,,,,,,,,,,,,,,,,
523,しんでしまうとはなさけない！,,,,,,,,,,,,,,,,,,,,,,,,
524,Hand in Hand,八一卜匕一卜,八一卜,八一卜七一卜,,,,,,,,,,,,,,,,,,,,,
525,ブリキノダンス,,,,,,,,,,,,,,,,,,,,,,,,
526,brilliant better,,,,,,,,,,,,,,,,,,,,,,,,
527,ハート・ビート,,,,,,,,,,,,,,,,,,,,,,,,
528,Invitation,邀请,,,,,,,,,,,,,,,,,,,,,,,
529,connecting with you,三泽秋,,,,,,,,,,,,,,,,,,,,,,,
530,高気圧ねこロック,高气压猫猫头,高气压猫,高气压,高血压,高气压猫猫摇滚,,,,,,,,,,,,,,,,,,,
531,Prophesy One,预言一,p1,,,,,,,,,,,,,,,,,,,,,,
532,洗脳,洗脑,Sennou,,,,,,,,,,,,,,,,,,,,,,
533,Barbed Eye,狗谷爱,坏眼,,,,,,,,,,,,,,,,,,,,,,
534,Nitrous Fury,nf,营养福瑞,氮气福瑞,,,,,,,,,,,,,,,,,,,,,
535,色は匂へど散りぬるを,色散,伊洛瓦,遗落哇,,,,,,,,,,,,,,,,,,,,,
536,月に叢雲華に風,,,,,,,,,,,,,,,,,,,,,,,,
537,No Routine,竹取飞翔,,,,,,,,,,,,,,,,,,,,,,,
538,ひれ伏せ愚民どもっ！,愚民,,,,,,,,,,,,,,,,,,,,,,,
539,エテルニタス・ルドロジー,东方鼓动,Eternitas Ludology,,,,,,,,,,,,,,,,,,,,,,
540,泡沫、哀のまほろば,泡沫,泡沫哀,泡馍,,,,,,,,,,,,,,,,,,,,,
541,華鳥風月,华鸟风月,世界名曲,风月金曲,四季大人,,,,,,,,,,,,,,,,,,,,
542,METATRON,死镰2,梅塔特隆,钟楼,麦塔冲,五边形,,,,,,,,,,,,,,,,,,,
543,終わりなき物語,无尽物语,物语,,,,,,,,,,,,,,,,,,,,,,
546,フォルテシモBELL,Fortissimo BELL,天王洲,,,,,,,,,,,,,,,,,,,,,,
547,私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,名字太长的歌,考察,好长,一考察,世界观考察,莎啦啦啦,名字好长,名字很长的歌,名字最长,,,,,,,,,,,,,,,
548,DETARAME ROCK&ROLL THEORY,detarame,星星歌,drrt,,,,,,,,,,,,,,,,,,,,,
551,ファッとして桃源郷,,,,,,,,,,,,,,,,,,,,,,,,
552,ゴーストルール,,,,,,,,,,,,,,,,,,,,,,,,
553,チュルリラ・チュルリラ・ダッダッダ！,啾噜哩啦,哒哒哒,跳音,跳拍,秋露里拉,撒～撒～李狗蛋,李狗蛋,,,,,,,,,,,,,,,,,
555,GOODMEN,好男人,好人,良民,好汉歌,良麵,你,,,,,,,,,,,,,,,,,,
556,夜明けまであと３秒,夜明,夜明3秒,夜明三秒,失明前三秒,夜明前三秒,,,,,,,,,,,,,,,,,,,
557,Last Brave ～ Go to zero,变成0,走向0,,,,,,,,,,,,,,,,,,,,,,
558,STAIRWAY TO GENERATION,,,,,,,,,,,,,,,,,,,,,,,,
559,空威張りビヘイビア,空威张,,,,,,,,,,,,,,,,,,,,,,,
560,回レ！雪月花,,,,,,,,,,,,,,,,,,,,,,,,
561,いっしそう電☆舞舞神拳！,舞舞神拳,114514,偷袭,maimai神拳,游啊游啊游,,,,,,,,,,,,,,,,,,,
564,ENJOY POLIS,JOYPOLIS,世嘉都市乐园,,,,,,,,,,,,,,,,,,,,,,
565,生きてるおばけは生きている,活着的鬼还活着,活着的怪物会一直活着,obake,,,,,,,,,,,,,,,,,,,,,
566,天火明命,天火,天火没命,,,,,,,,,,,,,,,,,,,,,,
567,HERA,赫拉,狗刨歌,纵连歌,1号键,黑辣,,,,,,,,,,,,,,,,,,,
568,分からない,哇卡拉奶,我不知道,吾伐晓得,wakaranai,我嗯晓,哇嘎啦乃,俺不造啊,分力5,下位hera,母鸡,不知道,,,,,,,,,,,,,
571,Our Wrenally,OW,魔法阿嬷,魔法夏祭,守望先锋,夏祭2,儿歌,里夏祭,白夏祭,夏祭,哀れなり,あわれ,夏季BYD,隆逼,火夏祭,瓜子绝活,,,,,,,,,
572,Scream out! -maimai SONIC WASHER Edit-,,,,,,,,,,,,,,,,,,,,,,,,
573,四月の雨,四月的shi,四月雨,四月的雨,四月的粪,伞,三点饮茶,四月的💩,阴间歌,阴间的雨,四月的暴风雨,四月的😅,💩,,,,,,,,,,,,
574,Selector,假红谱,绿色女人,绿女人,绿色的魔法少女,绿魔法少女,蹭星游戏,,,,,,,,,,,,,,,,,,
578,ドキドキDREAM!!!,Dokidoki DREAM,ddd,,,,,,,,,,,,,,,,,,,,,,
579,ポップミュージックは僕のもの,镜子歌,男同,李女士跳舞,男同歌,镜子,,,,,,,,,,,,,,,,,,,
580,吉原ラメント,吉原哀歌,吉原,吉原拉面头,拉面头,妓院,吉原怨妇,,,,,,,,,,,,,,,,,,
581,ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,坏人偶,坏人形,呐,极元哀歌,坏人型,,,,,,,,,,,,,,,,,,,
582,幽闇に目醒めしは,幽暗,幽目,幽暗目醒,,,,,,,,,,,,,,,,,,,,,
583,Starlight Vision,星光,,,,,,,,,,,,,,,,,,,,,,,
584,Club Ibuki in Break All,绝赞俱乐部,西瓜跳舞,绝赞,西瓜,,,,,,,,,,,,,,,,,,,,
585,Phantasm Brigade,孔明陷阱,12紫妈,,,,,,,,,,,,,,,,,,,,,,
586,永遠のメロディ,永远的melody,,,,,,,,,,,,,,,,,,,,,,,
587,白ゆき,白雪,拿不拿,,,,,,,,,,,,,,,,,,,,,,
589,Panopticon,监狱,光明会,环形监狱,圆形监狱,吴亦凡,,,,,,,,,,,,,,,,,,,
592,Sakura Fubuki,樱吹雪,樱吹屎,skrfbk,,,,,,,,,,,,,,,,,,,,,
593,conflict,,,,,,,,,,,,,,,,,,,,,,,,
598,すーぱーぬこになりたい,变超猫,nuko,mafu,超级猫,,,,,,,,,,,,,,,,,,,,
599,踊れオーケストラ,舞蹈乐团,康宽,Dance Orchestra,,,,,,,,,,,,,,,,,,,,,
601,きらっせ☆ウッド村ファーム,妖精村,木村,农场,,,,,,,,,,,,,,,,,,,,,
602,taboo tears you up,,,,,,,,,,,,,,,,,,,,,,,,
603,その群青が愛しかったようだった,群青,拿不拿,,,,,,,,,,,,,,,,,,,,,,
606,The wheel to the right,印度人,电锯,电锯人,右轮,阿三,右转轮,,,,,,,,,,,,,,,,,,
610,リンカーネイション,轮回转生,Reincarnation,,,,,,,,,,,,,,,,,,,,,,
611,宿題が終わらないっ！,宿题,作业,,,,,,,,,,,,,,,,,,,,,,
612,GO BACK 2 YOUR RAVE,gb2,回去你的2rave,滚回你的波,潮汕金曲,🉐🉐🉐🉐,鸡巴凸,雷神,gb2yr,g2r,,,,,,,,,,,,,,,
613,天国と地獄 -言ノ葉リンネ-,天国地狱,,,,,,,,,,,,,,,,,,,,,,,
614,夢花火,梦花火,乙姬角色歌,吗哇塞,,,,,,,,,,,,,,,,,,,,,
615,Paradisus-Paradoxum,,,,,,,,,,,,,,,,,,,,,,,,
617,オトヒメモリー☆ウタゲーション,乙姫,Otohimemory,Utagation,,,,,,,,,,,,,,,,,,,,,
618,ラブチーノ,Labcino,猫铃,猫猫铃,loveccino,,,,,,,,,,,,,,,,,,,,
620,東京レトロ,,,,,,,,,,,,,,,,,,,,,,,,
621,ARROW,箭,箭头,自八大,,,,,,,,,,,,,,,,,,,,,
622,バッド・ダンス・ホール,坏舞厅,bdh,bad dance hall,不要停下来,,,,,,,,,,,,,,,,,,,,
624,KISS CANDY FLAVOR,小红帽,亲亲砍弟佐料,,,,,,,,,,,,,,,,,,,,,,
625,Maxi,马克西,马西,马戏,麦克西,sabi,,,,,,,,,,,,,,,,,,,
626,相思創愛,相思创爱,,,,,,,,,,,,,,,,,,,,,,,
627,心象蜃気楼,心象晨气楼,心象,心跳气象楼,心象蜃气楼,哨戒班ll,,,,,,,,,,,,,,,,,,,
628,光線チューニング,光线tuning,光线,光线枪,中二,光线中二,,,,,,,,,,,,,,,,,,,
629,Limit Break,LB,限制绝赞,,,,,,,,,,,,,,,,,,,,,,
630,曖昧mind,爱maimai,暧昧mind,哮喘,,,,,,,,,,,,,,,,,,,,,
631,KING is BACK!!,王者归来,kib,国王是后退,金十段,退勤,王是背,无氧运动,有氧运动,来一首king is back,king is back,king四百,,,,,,,,,,,,,
632,Ultranova,A4纸,摩托车,超新星,,,,,,,,,,,,,,,,,,,,,
634,GET!! 夢&DREAM,取得梦和梦,学园handsome,锥子脸,,,,,,,,,,,,,,,,,,,,,
636,日本の米は世界一,日本米,日本米世界一,日本的大米天下第一,世界一,,,,,,,,,,,,,,,,,,,,
637,ないせんのうた,,,,,,,,,,,,,,,,,,,,,,,,
639,Starlight Dance Floor,星光舞厅,星光舞池,,,,,,,,,,,,,,,,,,,,,,
640,妖精村の月誕祭 ～Lunate Elf,妖精村,月诞,,,,,,,,,,,,,,,,,,,,,,
641,Calamity Fortune,,,,,,,,,,,,,,,,,,,,,,,,
642,Justified,正义,,,,,,,,,,,,,,,,,,,,,,,
643,Excalibur ～Revived resolution～,生煎2,圣剑2,ex咖喱棒,福瑞2,大圣剑,,,,,,,,,,,,,,,,,,,
646,名探偵連続殺人事件,名侦探,名侦探连续杀人事件,柯南,柯南连续杀人事件,,,,,,,,,,,,,,,,,,,,
647,エイリアンエイリアン,外星人,alien,alien alien,,,,,,,,,,,,,,,,,,,,,
648,My Dearest Song,大提琴,生日歌,我爱歌,我最爱的歌,mds,,,,,,,,,,,,,,,,,,,
649,猛進ソリストライフ！,猛进,,,,,,,,,,,,,,,,,,,,,,,
650,Let's Go Away,底特律,daytona,,,,,,,,,,,,,,,,,,,,,,
654,真・ハンサム体操でズンドコホイ,帅哥体操,真体操,体操,,,,,,,,,,,,,,,,,,,,,
655,フラジール,fragile,易碎品,丁亍氵一儿,易碎,弗拉记录,,,,,,,,,,,,,,,,,,,
657,オーディエンスを沸かす程度の能力 feat.タイツォン,沸腾程度,沸腾能力,沸程度,东方月灯笼,,,,,,,,,,,,,,,,,,,,
658,人里に下ったアタイがいつの間にか社畜になっていた件,社畜,NO NO working,人里下,,,,,,,,,,,,,,,,,,,,,
659,ギリギリ最強あいまいみー！,,,,,,,,,,,,,,,,,,,,,,,,
663,ちがう!!!,,,,,,,,,,,,,,,,,,,,,,,,
664,Moon of Noon,印度高僧,月儿子,越南,,,,,,,,,,,,,,,,,,,,,
665,チルノのパーフェクトさんすう教室　⑨周年バージョン,,,,,,,,,,,,,,,,,,,,,,,,
666,デスパレイト,desperate,,,,,,,,,,,,,,,,,,,,,,,
668,ようこそジャパリパークへ,,,,,,,,,,,,,,,,,,,,,,,,
669,あ・え・い・う・え・お・あお!!,,,,,,,,,,,,,,,,,,,,,,,,
670,ドーナツホール,甜甜圈洞,甜甜圈,绿人,,,,,,,,,,,,,,,,,,,,,
672,MilK,牛奶,12+牛奶,毛力毛力牛奶,,,,,,,,,,,,,,,,,,,,,
673,咲キ誇レ常世ノ華,常世华,常世之华,,,,,,,,,,,,,,,,,,,,,,
674,Magical Flavor,魔法味道,MF,milk op,waifu,魔法风味,,,,,,,,,,,,,,,,,,,
675,白い雪のプリンセスは,,,,,,,,,,,,,,,,,,,,,,,,
676,好き！雪！本気マジック,,,,,,,,,,,,,,,,,,,,,,,,
677,スターナイトスノウ,,,,,,,,,,,,,,,,,,,,,,,,
678,This game,游戏人生,虎纹鲨鱼,鱼，好大的鱼，虎纹鲨鱼,,,,,,,,,,,,,,,,,,,,,
679,Los! Los! Los!,,,,,,,,,,,,,,,,,,,,,,,,
680,Candy Tall Woman,糖果高女士,高血糖女人,糖高女,砍弟搞女人,,,,,,,,,,,,,,,,,,,,
681,Signature,签名卡,脏安卓,,,,,,,,,,,,,,,,,,,,,,
682,人生リセットボタン,人生重置,人生reset button,remake,人生重启键,人生重置按钮,人生重启按钮,,,,,,,,,,,,,,,,,,
683,しねばいいのに,死了一了百了,,,,,,,,,,,,,,,,,,,,,,,
684,もうみんなしねばいいのに,大家死了好,骂脏话,帕露西,帕露帕露,,,,,,,,,,,,,,,,,,,,
687,共感覚おばけ,共感觉,共感怪兽,麻鸡卡油,,,,,,,,,,,,,,,,,,,,,
688,麒麟,麒麟,青蛙叫,,,,,,,,,,,,,,,,,,,,,,
689,Credits,信用,制作人,11+,学分,阴间歌,,,,,,,,,,,,,,,,,,,
690,ダンスロボットダンス,,,,,,,,,,,,,,,,,,,,,,,,
691,アルカリレットウセイ,碱性劣等生,莉莉卡,愛岛,阿渡,,,,,,,,,,,,,,,,,,,,
692,ドクハク,独白,棺材,枪叔,,,,,,,,,,,,,,,,,,,,,
693,キレキャリオン,carry on,乃保,奶包,切下吧carry on,,,,,,,,,,,,,,,,,,,,
694,猫祭り,猫祭,nyannyannyannyan,🐱🐔,喵喵喵,猫寄,hso,,,,,,,,,,,,,,,,,,
695,TRUST,足控,小仏凪,,,,,,,,,,,,,,,,,,,,,,
696,Still,仍然,,,,,,,,,,,,,,,,,,,,,,,
697,ガヴリールドロップキック,,,,,,,,,,,,,,,,,,,,,,,,
698,fantastic dreamer,konosuba,为美好的世界献上祝福,,,,,,,,,,,,,,,,,,,,,,
699,天狗の落とし文 feat. ｙｔｒ,天狗,犹太人,ytr,天狗落文,,,,,,,,,,,,,,,,,,,,
700,疾走あんさんぶる,疾走,幽灵乐团,,,,,,,,,,,,,,,,,,,,,,
701,Doll Judgment,人形裁判,DJ,娃娃审判,人偶裁判,爱丽丝威震天,夹击妹抖,,,,,,,,,,,,,,,,,,
702,WARNING×WARNING×WARNING,,,,,,,,,,,,,,,,,,,,,,,,
704,SPILL OVER COLORS,Tsukasa错位,,,,,,,,,,,,,,,,,,,,,,,
705,Mare Maris,船歌,帆船,开船,小破船,船,妈妈船,破船,海底瘫二段,海盗船,好船,,,,,,,,,,,,,,
706,シャルル,,,,,,,,,,,,,,,,,,,,,,,,
707,フリィダム ロリィタ,自由洛丽塔,lolita,自由小萝莉,免费小萝莉,,,,,,,,,,,,,,,,,,,,
708,バレリーコ,芭蕾舞者,芭蕾,,,,,,,,,,,,,,,,,,,,,,
709,アウターサイエンス,界外科学,,,,,,,,,,,,,,,,,,,,,,,
710,REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,苍之骑士团,苍骑,,,,,,,,,,,,,,,,,,,,,,
711,拝啓ドッペルゲンガー,拜启,敬启我的分身,炸厕所,,,,,,,,,,,,,,,,,,,,,
712,ミラクル・ショッピング,购物,奇迹购物,唐吉诃德,,,,,,,,,,,,,,,,,,,,,
713,Kinda Way,KW,,,,,,,,,,,,,,,,,,,,,,,
717,ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,Love is Jewelry Engel  Break,绝赞天使,,,,,,,,,,,,,,,,,,,,,,
719,エンドマークに希望と涙を添えて,希望泪,在结尾处添上希望与泪水,筋肉女神,希望鱼雷,希望与泪,,,,,,,,,,,,,,,,,,,
720,ナンセンス文学,无意义文学,拍手文学,文学,,,,,,,,,,,,,,,,,,,,,
721,Bang Babang Bang!!!,邦邦邦,邦邦邦邦,邦邦,,,,,,,,,,,,,,,,,,,,,
722,Tic Tac DREAMIN’,tic tac,,,,,,,,,,,,,,,,,,,,,,,
723,SPICY SWINGY STYLE,SSS,,,,,,,,,,,,,,,,,,,,,,,
725,砂の惑星 feat. HATSUNE MIKU,沙星,沙之行星,砂之惑星,砂星,砂纸火星,,,,,,,,,,,,,,,,,,,
726,アンノウン・マザーグース,妈妈鹅,鹅妈妈,UMG,,,,,,,,,,,,,,,,,,,,,
728,POP TEAM EPIC,,,,,,,,,,,,,,,,,,,,,,,,
729,にめんせい☆ウラオモテライフ！,,,,,,,,,,,,,,,,,,,,,,,,
730,うまるん体操,小埋体操,,,,,,,,,,,,,,,,,,,,,,,
731,妄想感傷代償連盟,ftafn,联盟,妄想感伤代偿联盟,dscf,妄感代联,mkdr,阿姨压一压,代偿联盟,妄想,,,,,,,,,,,,,,,
732,LOVE EAST,爱东,爱东方,转转,,,,,,,,,,,,,,,,,,,,,
733,Fist Bump,索尼克力量,,,,,,,,,,,,,,,,,,,,,,,
734,ENERGY SYNERGY MATRIX,,,,,,,,,,,,,,,,,,,,,,,,
735,Session High⤴,⤴️,⬆️,↗️,session high,high起来了！,,,,,,,,,,,,,,,,,,,
736,World Vanquisher,WV,世界征服者,世征,威猛先生,我的万蝰蛇,三岁小孩都能ap的,FTR6,饮茶先啦,没有那种世征的欲望,三点饮茶,,,,,,,,,,,,,,
737,FestivaLight,节日光,milked,my waifu,,,,,,,,,,,,,,,,,,,,,
738,Brain Power,脑力,O-oooooooooo,,,,,,,,,,,,,,,,,,,,,,
739,進め！イッスン軍団 -Rebellion of the Dwarfs-,前进军团,小人国,小小兵团,矮人军团,一寸军团,,,,,,,,,,,,,,,,,,,
740,ULTRA B+K,bk2,b+k,超级汉堡王,ubk,,,,,,,,,,,,,,,,,,,,
741,インビジブル,Invisible,透明人,隐形人,,,,,,,,,,,,,,,,,,,,,
742,彗星ハネムーン,彗星蜜月,彗星,彗星八礻么一冫,,,,,,,,,,,,,,,,,,,,,
743,アンチクロックワイズ,,,,,,,,,,,,,,,,,,,,,,,,
744,全力☆Summer!,,,,,,,,,,,,,,,,,,,,,,,,
745,keep hopping,跳个不停,kamome sano,沙野,,,,,,,,,,,,,,,,,,,,,
746,larva,拉瓦,幼虫,咖喱咖喱,,,,,,,,,,,,,,,,,,,,,
747,えれくとりっく・えんじぇぅ,,,,,,,,,,,,,,,,,,,,,,,,
748,ミラクルペイント,,,,,,,,,,,,,,,,,,,,,,,,
749,Ievan Polkka,甩葱歌,,,,,,,,,,,,,,,,,,,,,,,
750,初音ミクの激唱,激唱,麦霸,机场,初音未来的机场,,,,,,,,,,,,,,,,,,,,
751,ガチャガチャきゅ～と・ふぃぎゅ@メイト,,,,,,,,,,,,,,,,,,,,,,,,
752,true my heart -Lovable mix-,黄油,童话,,,,,,,,,,,,,,,,,,,,,,
753,Rodeo Machine,广播,绿皮星星歌,马,绿马,绿手,,,,,,,,,,,,,,,,,,,
754,Arrival of Tears,,,,,,,,,,,,,,,,,,,,,,,,
756,CYBER Sparks,cs,魔理沙爆炸,魔光炮,反恐精英,电火花,,,,,,,,,,,,,,,,,,,
757,Xevel,黑白双gay,x,xlevel,tatsh,清水大爷,,,,,,,,,,,,,,,,,,,
758,INFINITE WORLD,文文,射命丸文,,,,,,,,,,,,,,,,,,,,,,
759,サドマミホリック,灵梦撒币,撒钱灵梦,大狸子,,,,,,,,,,,,,,,,,,,,,
760,Ragnarok,诸神的黄昏,诸神黄昏,圣战,rag,,,,,,,,,,,,,,,,,,,,
761,このふざけた素晴らしき世界は、僕の為にある,,,,,,,,,,,,,,,,,,,,,,,,
762,このピアノでお前を8759632145回ぶん殴る,钢琴,8759632145,砸钢琴,钢琴殴,,,,,,,,,,,,,,,,,,,,
763,はやくそれになりたい！,音街,石油王,,,,,,,,,,,,,,,,,,,,,,
764,フィクサー,fixer,修人,,,,,,,,,,,,,,,,,,,,,,
765,みんなの,兽道,,,,,,,,,,,,,,,,,,,,,,,
766,アマノジャクリバース feat. ｙｔｒ,天邪鬼反转,天邪鬼,过马路,ytr,灵梦过马路,,,,,,,,,,,,,,,,,,,
767,進捗どうですか？,进步,进度,健身,进展,,,,,,,,,,,,,,,,,,,,
768,"Help me, あーりん！",教我，永琳！,erin！erin！,,,,,,,,,,,,,,,,,,,,,,
769,なるとなぎのパーフェクトロックンロール教室,琪露诺的完美算数教室,⑨,琪露诺,彩绿9,完美算术教室,,,,,,,,,,,,,,,,,,,
770,あねぺったん,Anepettan,贫乳,,,,,,,,,,,,,,,,,,,,,,
771,We Gonna Journey,我们要旅行,wgj,,,,,,,,,,,,,,,,,,,,,,
772,FREEDOM DiVE (tpz Overcute Remix),FD,自由落体,FDFD,自由下落,昨日に奏でる明日の歌(overcute remix）,雷亚金曲（）,自由坠毁,自由摔死,,,,,,,,,,,,,,,,
773,SILENT BLUE,静蓝,SB,水晶冲天钻,烧饼,,,,,,,,,,,,,,,,,,,,
774,甲賀忍法帖,甲贺忍法帖,,,,,,,,,,,,,,,,,,,,,,,
775,ジンギスカン,成吉思汗,羊肉,,,,,,,,,,,,,,,,,,,,,,
776,にじよめちゃん体操第一億,体操,体操一亿,拼机必点,氪金曲,体操第一亿,,,,,,,,,,,,,,,,,,,
777,花と、雪と、ドラムンベース。,花一轮,花雪,等一个好姐妹出勤,日本ktv,电音老阿妈,阿拉一起你,FAR一轮,花花花花花一轮,21.5Kcal,21.5大卡,花一輪,,,,,,,,,,,,,
778,Conquista Ciela,,,,,,,,,,,,,,,,,,,,,,,,
779,怒槌,怒锤,怒捶,光吉猛修,我的脾气,被锤,做披萨,必胜客,ikazuchi,,,,,,,,,,,,,,,,
781,Seyana. ～何でも言うことを聞いてくれるアカネチャン～,seyana,说的事呢,小茜,せやな,,,,,,,,,,,,,,,,,,,,
782,おねがいダーリン,拜托了darling,darling,,,,,,,,,,,,,,,,,,,,,,
786,My First Phone,小灵通,电话,手机,打电话,小电话,没发票,,,,,,,,,,,,,,,,,,
787,SHINY DAYS,摇曳露营,,,,,,,,,,,,,,,,,,,,,,,
788,NOISY LOVE POWER☆,,,,,,,,,,,,,,,,,,,,,,,,
789,ネ！コ！,neko,野良与皇女与流浪猫之心,你,,,,,,,,,,,,,,,,,,,,,
790,only my railgun,电磁炮,,,,,,,,,,,,,,,,,,,,,,,
791,ロールプレイングゲーム,rpg,role playing game,,,,,,,,,,,,,,,,,,,,,,
792,ヒバナ,火花,七八十,,,,,,,,,,,,,,,,,,,,,,
